Spanish,Polish
de,z
que,To
no,NIE
a,Do
la,.
el,On
y,I
es,Jest
en,W
lo,To
un,A
por,przez
qué,To
me,I
una,A
los,.
se,ON
te,herbata
con,z
para,Do
está,Ten
mi,Mój
pero,Ale
sí,Tak
si,Tak
bien,Dobry
eso,To
su,jego
las,.
yo,I
del,z
como,Jak
aquí,Tutaj
tu,Ty
al,do
más,dalej
le,Ty
esto,Ten
todo,Wszystko
ya,już
estoy,Jestem
ahora,Teraz
muy,bardzo
ha,ha
esta,Ten
así,Więc
vamos,Pospiesz się
algo,coś
hay,jest
tengo,Ja mam
él,On
cuando,Kiedy
estás,Czy
sé,ON
tú,Ty
nos,nas
nada,Nic
cómo,Jak
este,Ten
o,albo
he,On
ser,Być
tiene,ma
puedo,Mogę
ella,ona
quiero,chcieć
hacer,Do
fue,był
gracias,Dziękuję
vez,czas
era,był
soy,jestem  
sólo,tylko
todos,Wszystko
porque,ponieważ
son,Czy
tienes,Posiadać
creo,uważać
voy,Iść
sabes,Wiesz
estaba,był
puede,Móc
eres,Czy
ese,To
usted,Ty
entonces,Więc
hola,Witam
solo,tylko
verdad,PRAWDA
casa,dom
tan,Więc
quién,Kto
sus,ich
tiempo,czas
dos,dwa
esa,To
nunca,nigdy
dónde,Gdzie
va,wchodzi
oh,Oh
favor,przychylność
mucho,bardzo
mí,Mój
quieres,chcieć
siento,czuję
señor,Pan
mejor,lepsza
hace,robi
has,ty masz
decir,mowić
también,Również
sobre,o
dios,Bóg
sin,bez
tenemos,Posiadać
están,Czy
ti,Ty
puedes,Móc
ver,Widzieć
hombre,Człowiek
vida,życie
alguien,ktoś
cosas,rzeczy
siempre,zawsze
hasta,dopóki
ahí,Tam
ir,Iść
años,lata
antes,zanim
estar,Być
ni,żaden
poco,fragment
día,dzień
noche,wieczór
hecho,zrobiony
mis,Mój
estamos,jesteśmy
otra,Inny
acuerdo,porozumienie
trabajo,stanowisko
nosotros,nas
parece,wydaje się
gente,ludzie
sea,Być
padre,ojciec
mira,Patrzeć
mismo,To samo
dijo,powiedział
nadie,nikt
quiere,chce
hablar,rozmawiać
vas,ty idź
ellos,Oni
sr.,Pan.
tal,taki
pasa,dzieje się
fuera,na zewnątrz
después,Po
han,oni mają
desde,z
dinero,pieniądze
mundo,świat
claro,jasne
momento,za chwilę
les,ich
tener,Posiadać
estado,państwo
otro,Inny
había,tam było
mañana,jutro
tenía,miał
madre,matka
lugar,miejsce
haciendo,czyn
donde,Gdzie
seguro,Jasne
sabe,wie
podemos,Móc
tus,twój
espera,Czekać
nuevo,nowy
sido,został
cosa,rzeczy
hijo,syn
allí,tam
menos,mniej
tipo,facet
amigo,przyjaciel
gran,Świetnie
nuestro,nasz
mujer,kobiety
mamá,matka
luego,Następnie
papá,tata
días,dni
dice,mówi
hoy,Dzisiaj
tres,trzy
buena,Dobry
necesito,potrzebować
dije,powiedział
oye,Hej
gusta,tak jak
quería,chciał
será,Być
haber,mieć
parte,część
todas,Wszystko
crees,Wierzysz
buen,Dobry
conmigo,ze mną
nombre,nazwa
mierda,gówno
nuestra,nasz
mal,zło
debe,musi
realmente,Naprawdę
estas,Czy
aún,Nadal
mío,kopalnia
toda,Wszystko
hacerlo,Zrób to
cada,każdy
visto,widziany
importa,To ma znaczenie
contigo,z Tobą
tienen,Posiadać
hemos,mamy
razón,powód
alguna,Niektóre
tanto,aż tak bardzo
saber,wiedzieć
hizo,zrobił
veces,czasy
serio,Poważny
ven,przychodzić
idea,pomysł
eh,Hej
tarde,późno
problema,problem
hora,godzina
cierto,PRAWDA
dicho,powiedzenie
quien,Kto
demasiado,zbyt wiele
amor,Miłość
entre,między
ve,Iść
pasado,przeszłość
familia,rodzina
estos,te
policía,Policja
debería,powinien
ustedes,Ty
chica,dziewczyna
esos,te
chicos,Chłopaki
cuenta,konto
haces,ty robisz
todavía,Nadal
salir,wychodzić
algún,Niektóre
vaya,Oh
unos,Niektóre
veo,Widzę
amigos,przyjaciele
hermano,brat
pensé,myślałem
sabía,wiedziałem
cabeza,głowa
ah,Ah
cariño,Drogi
digo,mowić
van,Iść
hombres,mężczyźni
buenas,cześć dobrze
somos,Czy
cualquier,każdy
forma,kształt
mientras,chwila
lado,strona
debo,muszę
sería,byłbym
caso,sprawa
pueden,mogą
pasó,przeszedł
primera,Pierwszy
genial,genialny
chico,chłopak
supuesto,przypuszczalny
hice,Zrobiłem
pues,Dobrze
adiós,do widzenia
muchas,wiele
personas,ludzie
señora,dama
volver,powrót
esas,te
quizá,Może
contra,przeciwko
camino,ścieżka
durante,podczas
hablando,rozmawiając
manera,sposób
muerto,martwy
persona,osoba
rápido,szybko
cuál,Który
ayuda,pomoc
historia,historia
iba,miałem zamiar
supongo,Chyba
nueva,nowy
entiendo,Rozumiem
dentro,wewnątrz
casi,prawie
puerta,drzwi
ves,zobaczysz
pasar,przechodzić
primero,Pierwszy
significa,oznacza
semana,tydzień
hacia,w kierunku
quizás,Może
espero,Czekać
juntos,razem
año,rok
niños,dzieci
pronto,Wkrótce
tío,wujek
suerte,szczęście
ciudad,miasto
siquiera,nawet
feliz,szczęśliwy
venir,przychodzić
hija,córka
gustaría,chciałby
minutos,minuty
cuánto,ile
os,Ty
hey,Hej
muerte,śmierć
dejar,Zostawić
realidad,rzeczywistość
deja,liście
problemas,kwestie
vi,piła
da,daje
importante,ważny
dijiste,powiedział
corazón,serce
miedo,strach
jefe,szef
agua,woda
haré,zrobię
justo,sprawiedliwy
horas,godziny
poder,Móc
buenos,Dobry
esposa,żona
manos,ręce
debes,musisz
viene,pochodzi
venga,Pospiesz się
nuestros,nasz
ojos,oczy
adelante,do przodu
encontrar,znajdować
mano,ręka
cinco,pięć
niño,dziecko
ninguna,nic
otros,inni
cara,drogi
cuidado,ostrożny
bajo,Niski
cerca,w pobliżu
viejo,stary
déjame,pozwól mi
noches,Noce
bastante,całkiem
fin,koniec
tomar,Brać
único,tylko
misma,To samo
escucha,Słuchać
ningún,nic
suficiente,wystarczająco 
punto,miejsce
cuándo,Kiedy
sigue,kontynuować
haya,Jest
equipo,sprzęt
grande,duży
necesita,wymagania
llegar,przyjechać
incluso,nawet
algunos,Niektóre
doctor,lekarz
difícil,trudny
aunque,Chociaż
hubiera,miał
primer,Pierwszy
coche,samochód
hago,Do
clase,klasa
cuatro,cztery
mas,dalej
dices,Mówisz
pequeño,mały
llama,połączenia
toma,Brać
hiciste,zrobił
allá,Tam
última,ostatni
arriba,powyżej
tierra,grunt
guerra,wojna
pensar,myśleć
pueda,Mogę
igual,równy
loco,zwariowany
sangre,krew
mujeres,kobiety
vuelta,okrążenie
fui,byłam
trabajar,praca
tenido,miał
juego,gra
deberías,powinieneś
cuerpo,ciało
e,I
algunas,Niektóre
cree,Uważać
podía,mógł
debemos,musieć
oportunidad,szansa
teléfono,telefon
necesitamos,potrzebować
final,finał
listo,gotowy
fiesta,impreza
muchos,wiele
estabas,Ty byłeś
quieren,Chcą
vete,Idź stąd
auto,samochód
dar,dawać
vivir,na żywo
posible,możliwy
ok,Dobra
hermana,siostra
número,numer
meses,miesiące
exactamente,Dokładnie
culpa,winić
abajo,poniżej
escuela,szkoła
ido,stracony
fuerte,mocny
diciendo,powiedzenie
habla,Mówi
esté,Ten
ello,To
pregunta,zapytać
chicas,dziewczyny
eran,był
unas,paznokcie
pasando,pójście
atrás,z powrotem
malo,zły
capitán,kapitan
sra.,pani
bebé,Dziecko
segundo,drugi
sabemos,wiemy
mayor,osoby starsze
comida,posiłek
morir,umierać
conozco,wiedzieć
dame,daj mi
fácil,łatwy
comer,jeść
vino,wszedł
lista,lista
haga,robić
